Designator,Mid X,Mid Y,Rotation,Layer
C5_5,128.436689,-83.737188,270.0,top
C5_4,63.206689,-83.739197,270.0,top
C5_3,95.79176,-50.997188,270.0,top
C5_2,63.206689,-50.997188,270.0,top
C5,95.832713,-83.738437,270.0,top
C7_9,58.977179,-116.38759,270.0,top
C7_8,124.140049,-50.933914,270.0,top
C7_7,91.633666,-116.413207,270.0,top
C7_6,124.200203,-116.385581,270.0,top
C7_5,124.196689,-83.667188,270.0,top
C7_4,58.966689,-83.669197,270.0,top
C7_3,91.55176,-50.927188,270.0,top
C7_2,58.966689,-50.927188,270.0,top
C7,91.592713,-83.668437,270.0,top
C8_9,55.147179,-113.56559,0.0,top
C8_8,120.310049,-48.111914,0.0,top
C8_7,87.803666,-113.591207,0.0,top
C8_6,120.370203,-113.563581,0.0,top
C8_5,120.366689,-80.845188,0.0,top
C8_4,55.136689,-80.847197,0.0,top
C8_3,87.72176,-48.105188,0.0,top
C8_2,55.136689,-48.105188,0.0,top
C8,87.762713,-80.846437,0.0,top
C9_9,55.147179,-116.07959,0.0,top
C9_8,120.310049,-50.625914,0.0,top
C9_7,87.803666,-116.105207,0.0,top
C9_6,120.370203,-116.077581,0.0,top
C9_5,120.366689,-83.359188,0.0,top
C9_4,55.136689,-83.361197,0.0,top
C9_3,87.72176,-50.619188,0.0,top
C9_2,55.136689,-50.619188,0.0,top
C9,87.762713,-83.360437,0.0,top
J1_9,60.897179,-123.12759,90.0,top
J1_8,126.060049,-57.673914,90.0,top
J1_7,93.553666,-123.153207,90.0,top
J1_6,126.120203,-123.125581,90.0,top
J1_5,126.116689,-90.407188,90.0,top
J1_4,60.886689,-90.409197,90.0,top
J1_3,93.47176,-57.667188,90.0,top
J1_2,60.886689,-57.667188,90.0,top
J1,93.512713,-90.408437,90.0,top
J2_9,63.307179,-111.51759,0.0,top
J2_8,128.470049,-46.063914,0.0,top
J2_7,95.963666,-111.543207,0.0,top
J2_6,128.530203,-111.515581,0.0,top
J2_5,128.526689,-78.797188,0.0,top
J2_4,63.296689,-78.799197,0.0,top
J2_3,95.88176,-46.057188,0.0,top
J2_2,63.296689,-46.057188,0.0,top
J2,95.922713,-78.798437,0.0,top
J3_9,58.957179,-111.46759,0.0,top
J3_8,124.120049,-46.013914,0.0,top
J3_7,91.613666,-111.493207,0.0,top
J3_6,124.180203,-111.465581,0.0,top
J3_5,124.176689,-78.747188,0.0,top
J3_4,58.946689,-78.749197,0.0,top
J3_3,91.53176,-46.007188,0.0,top
J3_2,58.946689,-46.007188,0.0,top
J3,91.572713,-78.748437,0.0,top
R1_9,51.277179,-105.73759,0.0,top
R1_8,116.440049,-40.283914,0.0,top
